step,epoch,split,loss,RPA,RCA,MAE_cents,learning_rate,wall_time_sec
7500,1,train,0.016360,0.6348,0.6370,124.51,5.00e-05,322.7
7600,1,train,0.016237,0.6379,0.6426,123.87,5.00e-05,327.0
7700,1,train,0.016845,0.6167,0.6215,128.76,5.00e-05,331.3
7800,1,train,0.016856,0.6082,0.6124,128.63,5.00e-05,335.6
7900,1,train,0.016072,0.6264,0.6322,125.62,5.00e-05,339.9
8000,1,train,0.016365,0.6402,0.6444,119.08,5.00e-05,344.2
8100,1,train,0.016131,0.6461,0.6516,119.13,5.00e-05,348.4
8200,1,train,0.016121,0.6504,0.6568,121.77,5.00e-05,352.7
8300,1,train,0.016367,0.6313,0.6364,126.45,5.00e-05,357.0
8400,1,train,0.016855,0.6093,0.6141,131.89,5.00e-05,361.3
8500,1,train,0.015947,0.6491,0.6545,111.78,5.00e-05,365.6
8600,1,train,0.016343,0.6400,0.6438,121.96,5.00e-05,369.9
8700,1,train,0.016690,0.6231,0.6263,125.63,5.00e-05,374.2
8800,1,train,0.016089,0.6429,0.6464,119.11,5.00e-05,378.5
8900,1,train,0.016026,0.6373,0.6418,118.26,5.00e-05,382.8
9000,1,train,0.016299,0.6554,0.6596,120.34,5.00e-05,387.1
9100,1,train,0.016392,0.6333,0.6397,122.45,5.00e-05,391.4
9200,1,train,0.016524,0.6338,0.6406,125.71,5.00e-05,395.6
9300,1,train,0.016056,0.6516,0.6561,121.44,5.00e-05,399.9
9400,1,train,0.016237,0.6302,0.6350,120.58,5.00e-05,404.2
9500,1,train,0.016147,0.6409,0.6445,114.88,5.00e-05,408.5
9600,1,train,0.016265,0.6270,0.6330,124.36,5.00e-05,412.8
9700,1,train,0.016129,0.6358,0.6402,119.04,5.00e-05,417.1
9800,1,train,0.016192,0.6349,0.6390,123.14,5.00e-05,421.4
9900,1,train,0.015596,0.6575,0.6610,106.32,5.00e-05,425.7
10000,1,train,0.016024,0.6443,0.6494,114.23,5.00e-05,430.0
10000,1,val,0.016419,0.6561,0.6616,120.63,5.00e-05,545.7
10100,1,train,0.015954,0.6607,0.6645,112.47,5.00e-05,550.6
10200,1,train,0.016183,0.6329,0.6383,121.57,5.00e-05,554.8
10300,1,train,0.016287,0.6468,0.6522,122.66,5.00e-05,559.1
10400,1,train,0.015761,0.6491,0.6546,117.78,5.00e-05,563.4
10500,1,train,0.016083,0.6466,0.6521,122.74,5.00e-05,567.7
10600,1,train,0.015978,0.6406,0.6455,122.52,5.00e-05,572.0
10700,1,train,0.016333,0.6391,0.6436,116.86,5.00e-05,576.3
10800,1,train,0.016243,0.6300,0.6338,123.05,5.00e-05,580.6
10900,1,train,0.016682,0.6361,0.6402,125.48,5.00e-05,584.9
11000,1,train,0.016012,0.6376,0.6417,120.14,5.00e-05,589.1
11100,1,train,0.015781,0.6609,0.6664,115.49,5.00e-05,593.4
11200,1,train,0.016054,0.6533,0.6574,115.37,5.00e-05,597.7
11300,1,train,0.016099,0.6310,0.6368,118.00,5.00e-05,602.0
11400,1,train,0.016349,0.6488,0.6517,121.67,5.00e-05,606.3
11500,1,train,0.015832,0.6578,0.6601,110.23,5.00e-05,610.6
11600,1,train,0.016128,0.6427,0.6465,126.97,5.00e-05,614.9
11700,1,train,0.016501,0.6334,0.6386,117.25,5.00e-05,619.2
11800,1,train,0.015945,0.6552,0.6594,113.60,5.00e-05,623.5
11900,1,train,0.015917,0.6406,0.6451,117.61,5.00e-05,627.8
12000,1,train,0.015562,0.6697,0.6749,112.52,5.00e-05,632.1
12100,1,train,0.016282,0.6439,0.6471,117.89,5.00e-05,636.4
12200,1,train,0.016617,0.6352,0.6396,118.74,5.00e-05,640.7
12300,1,train,0.015957,0.6299,0.6343,114.48,5.00e-05,645.0
12400,1,train,0.015824,0.6481,0.6538,118.99,5.00e-05,649.3
12500,1,train,0.016390,0.6350,0.6399,122.24,5.00e-05,653.6
12600,1,train,0.015809,0.6573,0.6612,111.59,5.00e-05,657.9
12700,1,train,0.016059,0.6592,0.6659,117.40,5.00e-05,662.1
12800,1,train,0.015817,0.6604,0.6645,113.34,5.00e-05,666.4
12900,1,train,0.015961,0.6524,0.6556,114.29,5.00e-05,670.7
13000,1,train,0.016097,0.6434,0.6505,120.96,5.00e-05,675.0
13100,1,train,0.016062,0.6440,0.6485,114.17,5.00e-05,679.3
13200,1,train,0.016265,0.6579,0.6624,112.00,5.00e-05,683.6
13300,1,train,0.016104,0.6469,0.6521,117.41,5.00e-05,687.9
13400,1,train,0.016211,0.6330,0.6378,119.08,5.00e-05,692.2
13500,1,train,0.015554,0.6563,0.6598,113.14,5.00e-05,696.5
13600,1,train,0.015637,0.6567,0.6599,113.86,5.00e-05,700.8
13700,1,train,0.016098,0.6589,0.6621,117.45,5.00e-05,705.1
